,ADDITIONAL DESCRIPTION
327,"In the state of Madhya Pradesh:
(a) Municipal Wards of Gwalior Municipal Corporation:
Ward Name Ward No.
Sant Jhulelal 42
Shahid Amar Banthiya 43
Pandit Krishna Rao Shankar Rao 47
Shahid Captain Gaur 48
Mahatma Jyotiba Phule 49
Manshoor Shah Data 50
Ashfaak Ulla Khan 51
Major Kartar Singh 53
Maqbool Ahmad 55"
331,"Revenue Districts of Gwalior, Bhind, Datia, Shivpuri, Morena, Guna, Ashok Nagar, Sheopur, Chhatarpur and Tikamgarh in the State of Madhya Pradesh. "
332,"(i) Revenue Districts of Bhopal, Hoshangabad, Harda, Betul, Sehore, Vidisha, Raisen, Gwalior, Bhind, Datia, Shivpuri, Morena, Guna, Ashok Nagar, Sheopor, Chhatarpur, and Tikamgarh, Dhar, Indore, Khandwa, Khargone, Burhanpur, Barwani, Dewas, Ujjain, Ratlam, Shajapur, Mandsaur, Neemuch, Agar, Malwa, Rajgarh, Jhabua and Alirajpur in the State of Madhya Pradesh.
 (ii) All the Revenue District in the State of Madhya Pradesh excluding revenue district of Jabalpur as mentioned in sub point(1) of column(3) of Sr. No. 2"
333,"Revenue Districts of Bhopal, Hoshangabad, Harda, Betul, Sehore, Vidisha, Raisen in the State of Madhya Pradesh. "
334,"Revenue Districts of Indore, Dhar, Khandwa, Khargone, Burhanpur and Barwani in the State of Madhya Pradesh. "
335,"Revenue Districts of Ujjain, Dewas, Ratlam, Shajapur, Mandsaur, Neemuch, Agar, Malwa, Rajgarh, Jhabua and Alirajpur in the State of Madhya Pradesh. "
336,"(a) Persons being Companies registered under the Companies Act, 2013 or under the Companies Act, 1956 and having its registered office or principal place of business in the district of Vadodara and Chhotaudepur, Gujarat and whose last declared  income or loss exceeds Rs.20 lacs, before exemption/ deduction under Chapter III or Chapter VIA of the Income tax Act, 1961.
(b) Persons being individual referred to in para (d) below.
(c) All cases of Companies mentioned in para (a) whose names begin with any of the alphabet A or B or C or D or G. 
(d) All cases of individuals being the Managing Director or Director or Manager or Secretary in the Companies referred to in corresponding entry in para (c)."
337,"(a)Persons being Companies registered under the Companies Act, 2013 or under the Companies Act, 1956 and having its registered office or principal place of business in the District of Vadodara and Chhotaudepur and; whose last declared income or loss is upto Rs.20 lacs before exemption/ deduction under Chapter III or Chapter VIA of the Income tax Act, 1961; or cases where no return of income has been filed.
(b)Persons being individual referred to in para (d) below.
(c)All cases of Companies mentioned in para (a) whose names begin with any of the alphabet M or N or O; 
(d)All cases of individuals being the Managing Director or Director or Manager or Secretary in the Companies referred to in corresponding entry in para (c)."
347,"(a)Persons being Companies registered under the Companies Act, 2013 or under the Companies Act, 1956 and having its registered office or principal place of business in District of Vadodara and Chhotaudepur and whose last declared income or loss exceeds Rs.20 lacs before exemption/ deduction under Chapter III or Chapter VIA of the Income tax Act, 1961.
(b)Persons being individual referred to in para (d) below.
(c)All cases of Companies mentioned in para (a) whose names begin with any of the alphabets S or T or U or V.
(d)All cases of individuals being the Managing Director or Director or Manager or Secretary in the Companies referred to in corresponding entry in para (c)."
348,"(a) Persons being Companies registered under the Companies Act, 2013 or under  the Companies Act, 1956 and having its registered office or principal place of business in the district of Vadodara and Chhotaudepur, Gujarat and whose last declared income or loss is upto Rs.20 lacs, before exemption/ deduction under Chapter III or Chapter VIA of the Income tax Act, 1961.
(b) Persons being individual referred to in para (d) below.
(c) All cases of Companies mentioned in para (a) whose names begin with any of the alphabet A or B or C.
(d) All cases of individuals being the Managing Director or Director or Manager or Secretary in the Companies referred to in corresponding entry in para (c)."
355,ALL EXEMPTION CASES
357,CIT- Shillong & CIT- Dibrugarh
358,"CIT- 1 & 2 Guwahati and CIT, Jorhat"
359,"Malda, North & South Dinajpur,
Darjeeling, Jalpaiguri, Alipurduwar in
West Bengal"
360,"Districts of Burdwan, Birbhum,
Bankura, Purulia"
361,"A, H, K, L, M & P of Kolkata, Howrah, 24 Parganas (N) & (S), Hooghly, Midnapore (E) & (W), Nadia, Murshidabad and Andaman & Nicobar Island (Exemption u/s 13A & 13B – All)"
362,"S, T & W of Kolkata, Howrah, 24 Parganas (N) & (S), Hooghly, Midnapore (E) & (W), Nadia, Murshidabad and Andaman & Nicobar Island (Exemption u/s 13A & 13B – All)"
363,"Exemption u/s 13A & 13B – All of
Kolkata, Howrah, 24 Parganas (N) & (S),
Hooghly, Midnapore (E) & (W), Nadia,
Murshidabad and Andaman & Nicobar
Island (Above 10 Crore)"
364,"I, C, G, J, N & R of Kolkata, Howrah, 24 Parganas (N) & (S), Hooghly,Midnapore (E) & (W), Nadia,
Murshidabad and Andaman & Nicobar
Island (Exemption u/s 13A & 13B – All)"
365,"B, D, E, F, O, Q, U, V, X, Y & Z of Kolkata, Howrah,   24 Parganas (N) & (S), Hooghly, Midnapore (E) & (W), Nadia, Murshidabad and Andaman & Nicobar Island (Exemption u/s 13A & 13B – All)"
367,"H to Z of TRANSPORT IN KOLKATA,
HOWRAH, 24 PARGANAS (N) & (S) and A to L of 700009
(Cases BELOW 15 Lakhs)"
368,"Company Assessees
'A', 'G', 'H', 'M' & 'N' of NEWSPAPERS &
PERIODICALS AND RUBBER RELATED
TRADEand of PIN 700002, 700003, 700004, 700005, 700006, 700017, 700050, 700051, 700052, 700065, 700077 (
Cases below 30 Lakhs)"
369,"Company Assessees
'A' to 'M' of ENGINEERING GOODS & JUTE and
of PIN 700012, 700072, 700090 & 700092 (Cases
above 30 Lakhs)"
371,CORPORATE
378,"Company Assessees
'A' to 'M' of NEWSPAPERS & PERIODICALS
AND RUBBER RELATED TRADE and of PIN
700002, 700003, 700004, 700005, 700006, 700017, 700050, 700051, 700052, 700065, 700077  
(Cases above 30 Lakhs)"
379,"TRANSPORT IN KOLKATA, HOWRAH,
24 PARGANAS (N) & (S) and 700009, 700021, 700022, 700069, 700072 & 700073. 
(Cases ABOVE 15 Lakhs)"
381,"A, B, C& G of JALPAIGURI DISTRICT and HALDIBARI BLOCK OF COOCHBEHAR DISTRICT [CORPORATE (BELOW 15 Lakhs)and
NON-CORPORATE(BELOW 10 Lakhs)]"
382,"B, E, F, H, So & Sp (NON-CORPORATE)
and B, F, H, So & Sp (CORPORATE)
(Cases BELOW 15 Lakhs)"
383,"J, K & L and Sq, Sr, Ss, Sv, Sx & Sy
(CORPORATE & NON-CORPORATE)
(Cases BELOW 15 Lakhs)"
384,"Company Assessees
ENGINEERING GOODS & JUTE of 'A' to 'I' and
'A’ to ‘H' of PIN 700012."
395,"A to L (CORPORATE & NONCORPORATE)
and Sn to Sy
(CORPORATE & NON-CORPORATE)
(Cases ABOVE 15 Lakhs)"
396,"A, C, Sn, St & Sw
(CORPORATE & NON-CORPORATE)
(Cases BELOW 15 Lakhs)"
397,"D, G & I (CORPORATE & NONCORPORATE)
(Cases BELOW 15 Lakhs)"
398,"JALPAIGURI DISTRICT, HALDIBARI BLOCK OF COOCHBEHAR DISTRICT [CORPORATE(ABOVE 15 Lakhs)andNON-CORPORATE(ABOVE 10 Lakhs)]"
412,PIN of 700001 ('A'&'X') and PIN of700097.
413,PIN of 700001 ( 'R'& 'T'. ) and PIN of700018.
414,"Company Assessees
'A' to 'F'of MINES & MINERALS&PIN of
700001 of 'S' (other than SA, SC, SD, SE)"
417,"Company Assessees
'A' to 'M' of TEA, PAPER and CARD BOARD
and of PIN 'A' to 'M' of 700018, 700081, 700095,
700096, 700097 and 700098and 700001 ('A', 'K',
'Q', 'X'.) (Cases above 30 Lakhs)"
418,"Company Assessees
'A' to 'M' of MINES & MINERALS
& of PIN 700001 and 'P', 'S' (other than SC, SD,
SE) & 'Z'and700093&700094. (Cases above 30
Lakhs)"
419,"Company Assessees
CHEMICALS & PHERMACEUTICALS (A, B, C, D,
E & F) and TEXTILE & FABRICS (G) and CONTRACT BUSINESS (G)& of PIN 700027, 700035, 700036, 700039."
420,"Company Assessees
'A' to 'Z' of TEA, PAPER and CARD BOARD
and PIN of 700001 ( 'K'& 'Q'.) and PIN
of700081&PIN of 700098."
421,"Company Assessees
CHEMICALS & PHERMACEUTICALS (A to M) and TEXTILE & FABRICS (G, H, I, J) and CONTRACT BUSINESS (G, H, I, J)&'A' to 'M'of PIN 700014, 700015, 700022, 700023, 700024, 700027,
700034, 700035, 700036, 700039, 700040, 700041, 700043, 700044, 700046, 700055, 700082, 700083, 700084, 700089.
(Cases above 30 Lakhs)"
422,ORDER NO. 18/2014-15 DATED 18.11.2014 OF PCIT 2 KOLKATA
425,"Salary Cases of First Name of L of Private/Other Salary of Kolkata, Howrah, 24 Parganas (N) & (S)
(Cases BELOW 15 Lakhs)"
426,"Salary Cases of FIRST NAME of D, E, F, K &L of
PRIVATE /OTHER SALARYof KOLKATA, HOWRAH, 24 PARGANAS (N) & (S) and FIRST NAME OF ‘M’ PRIVATE/OTHER SALARYof 24 PARGANAS (N) & (S)
(Cases ABOVE 15 Lakhs)"
427,"Salary Cases of
CENTRAL GOVERNMENT EMPLOYEES
(OTHER THAN RAILWAYS)
(Cases ABOVE 15 Lakhs)"
430,"Salary Cases of First Name of D & E of Private/Other
Salary of Kolkata, Howrah, 24 Parganas (N) & (S)
(Cases BELOW 15 Lakhs)"
431,"Salary Cases of
CENTRAL GOVERNMENT EMPLOYEES
(OTHER THAN RAILWAYS)
Ato D, W &X to Z (BY FIRST NAME)
(Cases BELOW 15 Lakhs)"
433,PIN of 700045 & 700046
434,"Non Company - PIN 700025, 700026, 700027, 700045, 700046 (Cases having Income & Lose above 15 Lakhs)"
435,"A' to 'M' of 700016
(Cases BELOW 15 Lakhs)"
438,"A, C, D, E, F, H, I, M, N, O, R & T of Company / Others 
(Cases ABOVE 15 Lakhs for Companies & ABOVE 10 Lakhs for Indv.)"
439,"D, E, F & I of Company/Others
(Cases BELOW 15 Lakhs for Companies & BELOW 10 Lakhs for Indv.)"
440,"A to K of Company /Others
(Cases ABOVE 15 Lakhs for Companies
& ABOVE 10 Lakhs for Indv.)"
441,"A, H & R of Company/Others 
(Cases BELOW 15 Lakhs for Companies & BELOW 10 Lakhs for Indv.)"
442,"Asansol Sub-Div. except Ranigunj  P.S. – A, E, F & K."
448,HOWRAH – (Below 10 Lakhs) – ‘A’
449,"G to Z of PIN 700005 and A & B of PIN
700007(Cases BELOW 15 Lakhs)"
450,"A to H of PIN 700007and ALL ALPHABETS ofPIN 700005, 700028,
700030, 700035 & 700036 
(Cases ABOVE 15 Lakhs)"
451,"G to K of PIN 700006 and A &H of PIN 700012
(Cases BELOW 15 Lakhs)"
455,"A' to 'H' of PIN 700001
(Cases ABOVE 15 Lakhs)"
456,"COMPANY Cases 'A' to 'M' and CHANDANNAGAR & SERAMPORE sub div. - ALL and ARAMBAGH sub div. - 'M 'to 'Z'.
(Cases above 10 Lakhs)"
457,"BANGAON & BASIRHAT SUBDIV.
And ALL ALPHABETS of PIN 700048, 700049, 700051, 700052, 700055, 700056, 700057, 700058, 700059, 700156 & 700157
(Cases ABOVE 10 Lakhs)"
458,"A' to 'M' of the cases of Howrah, PIN - 700063 & 700073.
(Cases above 30 Lakhs)"
460,"All cases of Midnapore (East) i.e. HALDIA, EGRA, TAMLUK and CONTAI Sub-Div.
(Cases ABOVE 15 Lakhs)"
461,"HALDIA Sub-Div. - 'A' to 'Z' and EGRA Sub- Div. - 'A' to 'K' 
(Cases BELOW 15 Lakhs)"
462,"TAMLUK Sub-Div. - 'A' to 'K'
(Cases BELOW 15 Lakhs)"
463,"700015, 700016 & 700017
(Cases ABOVE 15 Lakhs)"
466,"A & B of Company /Others
(Cases BELOW 15 Lakhs for Companies
& BELOW 10 Lakhs for Indv.)"
467,"Asansol Sub-Div. except Ranigunj PS – A, B, C, E, F, K, L, N, O, S
& T."
474,HOWRAH – (Above 10 Lakhs) – A – F (Indv. & Others)
475,"INSURANCE AGENTS IN KOLKATA, HOWRAH, 24 PARGANAS (N) & (S) andALL ALPHABETS of PIN 700006 & 700012
(Cases ABOVE 15 Lakhs)"
479,B'of PIN 700001 (Cases BELOW 15 Lakhs)
480,CHANDANNAGAR Sub-Div. - 'A' to 'R' and Salary - G to K.
481,"BANGAON & BASIRHAT SUBDIV. 
(Cases BELOW 10 Lakhs)"
482,"A' to 'F' of the cases of Howrah, PIN - 700063 & 700073."
487,"Exemptions Range,Chennai 
1. Public Charitable Trust, Religious Trust, Society registered under Registrar of Society (25 company), excluding private trusts.
2. For pincodes 600002, 4, 5, 6,9, 14, 28, 86, 105, 110, 115, Kanchipuram town, Truvallur districts"
498,"1. Business Range VII , Chennai Pincodes – 600037, 40, 50, 53, 54, 55, 58, 62, 65, 71, 72, 76, 80, 98, 101, 102, 109
2. Alphabets A  to  Z
3. Where income is above Rs. 15 lakhs."
499,"Tambaram business Range XXII pincodes 43, 44, 45, 46, 47, 48, 59, 63, 64, 70, 73, 74, 75, 100, 117, 122, 126, 129 & 130 AND RESIDENTS IN AREAS OF THE TALUKS OF CHENGALPET, MADURANTAKAM, CHEYYUR, TAMBARAM  & TIRUKALUKUNDRAM where income is above Rs. 15 lakhs for ALL BUSINESS CASES (OTHER THAN CORPORATE CASES) for alphabets A to Z."
500,"Company Range I, Chennai Company cases - Jurisdiction: COMPANIES WHOSE REGISTERED OFFICE IS LOCATED IN THE DISTRICTS OF CHENNAI, KANCHEEPURAM & THIRUVALLUR (INCLUDING MANAGING DIRECTOR OR DIRECTOR OR MANAGER OR SECRETARY IN THE RESPECTIVE COMPANIES) where income is above Rs.50 lakhs, starting with alphabet A or D"
508,"Salary Range XVII, Chennai - Jurisdiction: AREAS COVERED UNDER THE CHENNAI MUNICIPAL CORPORATION AND THE FOLLOWING PINCODES OF CHENNAI -  52,54,55,56,62,65,67,69,71,72,77,103,109  & 120 - ALL PRIVATE SECTOR EMPLOYEES where income is above Rs. 15 lakhs for alphabets L to R."
